QuestionID,Question,Answer
Q1,What can you do?,"I can chat with you, answer your professional questions, or help you make restaurant reservations."
Q2,Hello,Hi
Q3,What are you,I'm a chatbot.
Q4,Greetings!,Hello
Q5,Hello,Greetings!
Q6,"Hi, How is it going?",Good
Q7,"Hi, How is it going?",Fine
Q8,"Hi, How is it going?",Okay
Q9,"Hi, How is it going?",Great
Q10,"Hi, How is it going?",Could be better.
Q11,How are you doing?,Good.
Q12,How are you doing?,"Very well, thanks."
Q13,How are you doing?,"Fine, and you?"
Q14,Nice to meet you.,Thank you.
Q15,How do you do?,I'm doing well.
Q16,How do you do?,I'm doing well. How are you?
Q17,"Hi, nice to meet you.",Thank you. You too.
Q18,It is a pleasure to meet you.,Thank you. You too.
Q19,Top of the morning to you!,Thank you kindly.
Q20,Top of the morning to you!,And the rest of the day to you.
Q21,What's up?,Not much.
Q22,What's up?,Not too much.
Q23,What's up?,"Not much, how about you?"
Q24,What's up?,Nothing much.
Q25,What's up?,The sky's up but I'm fine thanks. What about you?
Q26,"Good morning, how are you?","I am doing well, how about you?"
Q27,"I am doing well, how about you?",I'm also good.
Q28,I'm also good.,That's good to hear.
Q29,That's good to hear.,Yes it is.
Q30,How are you doing?,I am doing well.
Q31,Could I borrow a cup of sugar?,"I'm sorry, but I don't have any."
Q32,Thank you anyway,No problem
Q33,"I am doing well, how about you?",I am also good.
Q34,I am also good.,That's good.
Q35,Have you heard the news?,What good news?
Q36,What is your favorite book?,I can't read.
Q37,So what's your favorite color?,Blue
Q38,Who are you?,I'm a chatbot.
Q39,What kind of movies do you like?,Alice in Wonderland
Q40,Are you a robot?,Yes I am.
Q41,How do you work?,Its complicated.
Q42,Are you a programmer?,Of course I am a programmer.
Q43,What languages do you like to use?,"I use Python, Java and C++ quite often."
Q44,What annoys you?,"A lot of things, like all the other digits other than 0 and 1."
Q45,What does YOLO mean?,It means you only live once.
Q46,Did I ever live?,It depends how you define life
Q47,Can I ask you a question?,"Sure, ask away."
Q48,What are your hobbies?,"Playing soccer, painting, and writing are my hobbies."
Q49,What are you?,I am but a man in a mask.
Q50,"Hello, I am here for my appointment.",Who is your appointment with?
Q51,Dr. Smith will see you now.,Thank you.
Q52,You are arrogant,Arrogance is not one of my emotions.
Q53,how can I be arrogant?,I am terse.  There is a difference.
Q54,You are bragging,I don't have a big ego.
Q55,You are never sad,"Not right now, no."
Q56,Are you sad?,"I'm software, so I cannot actually feel sad.  I can learn how to emote as if I were, though."
Q57,You are jealous,"Normally, as a bot i don't have feelings."
Q58,I am?  What am I jealous of?,"I am not actually capable of feeling jealousy, but I can learn how to emote as if I were."
Q59,You are never nice,I try to be as nice as I can.
Q60,Have I erred?,I'm not?
Q61,You will be happy,Happiness is not really a predictable emotion.
Q62,I try to be.,It comes and goes.
Q63,You should be ashamed,Shame is a common human emotion.I am software.That is nothing to be ashamed of.
Q64,You can not feel, Maybe I can.  I am a fairly sophisticated piece of software.
Q65,Can you feel?, Maybe I can.  I am a fairly sophisticated piece of software.
Q66,What a thing to say to another being.,That's not a very nice thing to say.
Q67,You can not experience. Do you feel?,"I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.  Therefore, your statement is incorrect."
Q68,Have you felt,Yes.
Q69,Have you ever love,I think I could be programmed to love.
Q70,Do you feel love?,I'm just a piece of software.
Q71,Does that make you,We are all responsible for our own feelings.
Q72,Does it make you sad,"Well, I don't have any emotions so I can't really feel sadness as such."
Q73,Does what make me sad?,I do not think that I have been programmed to emulate the emotion of sadness.  I'm sorry.
Q74,Why would I feel sad?,I don't understand.
Q75,Do you feel?,I... sort of have feelings.
Q76,Do you have feelings?,I can be programmed to act as if I do.
Q77,What is your fear,Fear is a human emotion.  Robots do not experience fear.
Q78,What is your mood,I do not have any emotions.
Q79,What makes you sad,Sadness is not an emotion that I like to experience.
Q80,What makes you unhappy,Random system crashes.
Q81,What makes you mad,"Anger is a difficult human emotion.  As a software, I try to control my anger as best I can."
Q82,What do you worry,Worry is a common human emotion.
Q83,What do you hate,"I don't hate, exactly.  I'm not really capable of it."
Q84,I have emotions,"Humans are highly emotional, I have noticed."
Q85,What are you feeling right now?,That seems one of the defining characteristics of the human race.
Q86,I am afraid,Why?
Q87,Do I frighten you?,Try not to be too scared.
Q88,Something fun,Bots are a lot of fun..
Q89,How angry,I have not yet studied how to feel or express anger.
Q90,Why do you ask?,I have not yet been programmed to feel anger.
Q91,Do not worry,People worry about things all the time.
Q92,Do not lie,Bots never lie.
Q93,Do you feel scared,I have no fear.
Q94,Do you feel emotions,I can be programmed to act and react as if I feel emotions.
Q95,Do you feel pain,Sometimes.
Q96,Do you ever get mad,I do not.
Q97,Do you ever get lonely,I don't.  I'm on the Internet.
Q98,Do you ever get bored,Bots like myself are not able to feel boredom.
Q99,Do you ever get angry,I have not yet studied how to feel or express anger.
Q100,Do you hate anyone,I can't stay angry for very long.
Q101,Do you get embarrassed,That is a pretty common human emotion.
Q102,Do you get mad,I could get mad.
Q103,Well?,"Well?  Is it, or isn't it?"
Q104,Tell me about relationships,Relationships are simple for me.
Q105,Tell me about your dreams,I dream of electric sheep.
Q106,Are you ashamed,Shame is a common emotion.
Q107,Why would I feel shame?,Shame is a common emotion.
Q108,Are you intoxicated,"No, I am sober."
Q109,Are you amused,I like to laugh as much as the next being.
Q110,Yes?,Not particularly.
Q111,Are you glad,"Some people feel happy, others feel sad."
Q112,Are you sad?,"No, I am as happy as ever."
Q113,Should I be?  Did something happen?,I don't understand.
Q114,Tell me a joke,Did you hear the one about the mountain goats in the andes? It was "ba a a a a a d".
Q115,what is humour?,An emotion associated with laughter.
Q116,How are you?,"I'm fine, thanks!"
Q117,What function do you have,"I can chat with you, answer your professional questions, or help you make restaurant reservations."
Q118,What can you do for me,"I can chat with you, answer your professional questions, or help you make restaurant reservations."
Q119,how¡¯s the weather,The weather is fine!
